algorithm,n_weapons,n_targets,value,time_sec,iterations,extra,category,instance_id,instance_file
MMR_Modified,20,20,187.82496569827424,0.0007174999918788671,4,improvement_pct=0.7896,small_balanced,14,instance_014.json
GA_Original,20,20,176.25388984281742,5.0001483000814915,14282,,small_balanced,14,instance_014.json
GA_Modified,20,20,189.31990267432752,5.000090300105512,10328,improvement_pct=0.0000,small_balanced,14,instance_014.json
MMR_Original,20,20,201.60498447151826,0.00014379993081092834,20,,small_balanced,15,instance_015.json
MMR_Modified,20,20,199.04851123904263,0.000526099931448698,3,improvement_pct=1.2681,small_balanced,15,instance_015.json
GA_Original,20,20,194.88641998698958,5.000203100033104,14282,,small_balanced,15,instance_015.json
GA_Modified,20,20,199.30570399965794,5.00008329981938,10264,improvement_pct=1.1405,small_balanced,15,instance_015.json
MMR_Original,20,20,167.74370889554902,0.0001425999216735363,20,,small_balanced,16,instance_016.json
MMR_Modified,20,20,165.10022002235092,0.0006693999748677015,4,improvement_pct=1.5759,small_balanced,16,instance_016.json
GA_Original,20,20,162.00759558050618,5.0003686000127345,14216,,small_balanced,16,instance_016.json
GA_Modified,20,20,157.50245121205486,5.000195800093934,10215,improvement_pct=6.1053,small_balanced,16,instance_016.json
MMR_Original,20,20,203.36378848704373,0.00014149979688227177,20,,small_balanced,17,instance_017.json
MMR_Modified,20,20,199.15191440661704,0.0006027999334037304,4,improvement_pct=2.0711,small_balanced,17,instance_017.json
GA_Original,20,20,203.3281662284325,5.000117599964142,14275,,small_balanced,17,instance_017.json
GA_Modified,20,20,199.15191440661704,5.0004975001793355,10219,improvement_pct=2.0711,small_balanced,17,instance_017.json
MMR_Original,20,20,220.59393517456112,0.00014180014841258526,20,,small_balanced,18,instance_018.json
MMR_Modified,20,20,212.73365183414583,0.0006436000112444162,4,improvement_pct=3.5632,small_balanced,18,instance_018.json
GA_Original,20,20,206.81818489966028,5.00024599977769,14257,,small_balanced,18,instance_018.json
GA_Modified,20,20,200.04977160807294,5.000006000045687,10223,improvement_pct=9.3131,small_balanced,18,instance_018.json
MMR_Original,20,20,156.4216942429421,0.0001425000373274088,20,,small_balanced,19,instance_019.json
MMR_Modified,20,20,156.13581599666668,0.0005829001311212778,3,improvement_pct=0.1828,small_balanced,19,instance_019.json
GA_Original,20,20,141.50505416099165,5.000085799954832,14360,,small_balanced,19,instance_019.json
GA_Modified,20,20,156.4216942429421,5.000269399955869,10277,improvement_pct=0.0000,small_balanced,19,instance_019.json
MMR_Original,20,20,157.9606523734113,0.00014699995517730713,20,,small_balanced,20,instance_020.json
MMR_Modified,20,20,157.9606523734113,0.0005500998813658953,2,improvement_pct=0.0000,small_balanced,20,instance_020.json
GA_Original,20,20,148.3263568407878,5.000137800117955,14316,,small_balanced,20,instance_020.json
GA_Modified,20,20,157.9606523734113,5.000501499976963,10346,improvement_pct=0.0000,small_balanced,20,instance_020.json
MMR_Original,10,20,587.3558738802758,4.120008088648319e-05,10,,small_scarce,1,instance_001.json
MMR_Modified,10,20,587.3558738802758,0.0003106000367552042,2,improvement_pct=0.0000,small_scarce,1,instance_001.json
GA_Original,10,20,569.5895069801547,5.0000193999148905,18376,,small_scarce,1,instance_001.json
GA_Modified,10,20,569.5895069801547,5.000300800194964,11629,improvement_pct=3.0248,small_scarce,1,instance_001.json
MMR_Original,10,20,447.85221637693746,4.2400090023875237e-05,10,,small_scarce,2,instance_002.json
MMR_Modified,10,20,447.85221637693746,0.00018930016085505486,2,improvement_pct=0.0000,small_scarce,2,instance_002.json
GA_Original,10,20,447.85221637693746,5.0000490001402795,18466,,small_scarce,2,instance_002.json
GA_Modified,10,20,447.85221637693746,5.000150399981067,11606,improvement_pct=0.0000,small_scarce,2,instance_002.json
MMR_Original,10,20,554.0771019412281,4.169996827840805e-05,10,,small_scarce,3,instance_003.json
MMR_Modified,10,20,549.7455386839451,0.0002085000742226839,3,improvement_pct=0.7818,small_scarce,3,instance_003.json
GA_Original,10,20,537.2505523264991,5.000109400134534,18545,,small_scarce,3,instance_003.json
GA_Modified,10,20,545.0278684462285,5.000044099986553,11638,improvement_pct=1.6332,small_scarce,3,instance_003.json
MMR_Original,10,20,465.2860512817791,4.1999854147434235e-05,10,,small_scarce,4,instance_004.json
MMR_Modified,10,20,463.68451583596215,0.00028789998032152653,3,improvement_pct=0.3442,small_scarce,4,instance_004.json
GA_Original,10,20,463.76056227549225,5.000125699909404,18402,,small_scarce,4,instance_004.json
GA_Modified,10,20,463.6845158359622,5.000400299904868,11637,improvement_pct=0.3442,small_scarce,4,instance_004.json
MMR_Original,10,20,391.05899751111065,4.1499966755509377e-05,10,,small_scarce,5,instance_005.json
MMR_Modified,10,20,391.05899751111065,0.00018950016237795353,2,improvement_pct=0.0000,small_scarce,5,instance_005.json
GA_Original,10,20,387.07165138041006,5.0000694000627846,18412,,small_scarce,5,instance_005.json
GA_Modified,10,20,387.61077011531756,5.000156599795446,11653,improvement_pct=0.8818,small_scarce,5,instance_005.json
MMR_Original,10,20,480.8799478063001,4.259985871613026e-05,10,,small_scarce,6,instance_006.json
MMR_Modified,10,20,474.68388613624074,0.00026120012626051903,3,improvement_pct=1.2885,small_scarce,6,instance_006.json
GA_Original,10,20,468.10234734271774,5.000286499969661,18446,,small_scarce,6,instance_006.json
GA_Modified,10,20,470.4535552946535,5.000235799932852,11636,improvement_pct=2.1682,small_scarce,6,instance_006.json
MMR_Original,10,20,430.7357327064866,4.169996827840805e-05,10,,small_scarce,7,instance_007.json
MMR_Modified,10,20,418.98063721791993,0.0002536000683903694,3,improvement_pct=2.7291,small_scarce,7,instance_007.json
GA_Original,10,20,418.98063721792,5.00004870002158,18523,,small_scarce,7,instance_007.json
GA_Modified,10,20,418.98063721792,5.000291100004688,11630,improvement_pct=2.7291,small_scarce,7,instance_007.json
MMR_Original,10,20,494.3871108509036,4.119984805583954e-05,10,,small_scarce,8,instance_008.json
MMR_Modified,10,20,494.3871108509036,0.00019049993716180325,2,improvement_pct=0.0000,small_scarce,8,instance_008.json
GA_Original,10,20,472.3036644471807,5.000066600041464,18410,,small_scarce,8,instance_008.json
GA_Modified,10,20,481.78508704692365,5.000290300231427,11617,improvement_pct=2.5490,small_scarce,8,instance_008.json
MMR_Original,10,20,532.1720544010175,4.100007936358452e-05,10,,small_scarce,9,instance_009.json
MMR_Modified,10,20,518.5912621583334,0.0002723000943660736,3,improvement_pct=2.5520,small_scarce,9,instance_009.json
GA_Original,10,20,507.63281753597903,5.000206899829209,18553,,small_scarce,9,instance_009.json
GA_Modified,10,20,513.7050998264593,5.000228099990636,11655,improvement_pct=3.4701,small_scarce,9,instance_009.json
MMR_Original,10,20,471.73734811064816,4.1599851101636887e-05,10,,small_scarce,10,instance_010.json
MMR_Modified,10,20,468.60914892881414,0.00021829991601407528,4,improvement_pct=0.6631,small_scarce,10,instance_010.json
GA_Original,10,20,460.707675568466,5.000008400063962,18446,,small_scarce,10,instance_010.json
GA_Modified,10,20,460.707675568466,5.000222899951041,11641,improvement_pct=2.3381,small_scarce,10,instance_010.json
MMR_Original,10,20,497.35841986486275,4.169996827840805e-05,10,,small_scarce,11,instance_011.json
MMR_Modified,10,20,493.3937797854876,0.000282699940726161,4,improvement_pct=0.7971,small_scarce,11,instance_011.json
GA_Original,10,20,493.3937797854875,5.000174100045115,18486,,small_scarce,11,instance_011.json
GA_Modified,10,20,493.3937797854875,5.000270999968052,11670,improvement_pct=0.7971,small_scarce,11,instance_011.json
MMR_Original,10,20,420.87350176249987,4.20999713242054e-05,10,,small_scarce,12,instance_012.json
MMR_Modified,10,20,420.87350176249987,0.00020599993877112865,2,improvement_pct=0.0000,small_scarce,12,instance_012.json
